题干,选项A,选项B,选项C,选项D,正确选项,解析,难度,来源,来源说明,内容状态,校审状态,校审备注,题目ID
众亲戚已到，商量在本族亲房立了一个儿子过来，然后大殓治丧。蘧公子______，极倦子之谊。★清·吴敬梓《儒林外史》第十二回,哀毁骨立,安民告示,白日见鬼,暴跳如雷,A,释义：哀悲哀；毁损坏身体；骨立形容极瘦，只剩下骨架。旧时形容在父母丧中因过度悲伤而瘦得只剩一把骨头。。原始资料成语：哀毁骨立。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-017
______颂英烈，此是北昆跃进花。★茅盾《观北昆剧院初演〈红霞〉》,安内攘外,哀丝豪竹,白日升天,暴衣露盖,B,释义：丝指弦乐器；竹指管乐器；豪竹粗大的竹管制成的乐器。形容管弦乐声的悲壮动人。。原始资料成语：哀丝豪竹。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-018
看她俩挨肩搭背的样子，就知道是一对好朋友，最恰当的成语是______。,安贫乐道,白色恐怖,挨肩搭背,暴衣露冠,C,释义：挨肩肩和肩相靠。搭背手搭在别人背上。形容极其亲昵的样子。。原始资料成语：挨肩搭背。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-019
她［一丈青大娘］又跑遍沿河几个村落，______乞讨零碎布头儿，给何满子缝了一件五光十色的百家衣。★刘绍棠《蒲柳人家》一,安然无恙,白手起家,暴躁如雷,挨门挨户,D,释义：挨按照顺序。按照住户的顺序一家也不漏。同挨门逐户”。。原始资料成语：挨门挨户。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-020
最有识见之客，亦作______。★清·李渔《闲情偶寄·演习·选剧》,矮人观场,安忍无亲,白首穷经,卑辞重币,A,释义：比喻只知道附和别人，自己没有主见。也比喻见识不广。。原始资料成语：矮人观场。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-021
是真是假，要弄个明白，不能______，人云亦云。,安如盘石,矮人看场,白首同归,卑宫菲食,B,释义：比喻只知道附和别人，自己没有主见。也比喻见识不广。。原始资料成语：矮人看场。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-022
______何曾见，都是随人说短长。★清·赵翼《诗论》诗,安如磐石,白叟黄童,矮子看戏,卑躬屈节,C,释义：比喻只知道附和别人，自己没有主见。也比喻见识不广。。原始资料成语：矮子看戏。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-023
早有那般世谊同年，见他翩翩风度，______，都愿和他亲近进来了。★清·文康《儿女英雄传》第三十八回,安身立命,白天见鬼,卑躬屈膝,蔼然可亲,D,释义：蔼然对人和善的样子。形容态度和气，使人愿意接近。。原始资料成语：蔼然可亲。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-024
得见钱唐陈小云司马《香畹楼忆语》钞本一种，______，亟问假归，手录展玩。★清·王维鋆《香畹楼忆语序一》,爱不忍释,安土重迁,白头如新,卑礼厚币,A,释义：释放下。对所喜欢的物品，爱得拿在手里久久不肯放下。。原始资料成语：爱不忍释。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-025
宫保______，兄弟实在钦佩的。★清·刘鹗《老残游记》六回,安危相易,爱才如渴,白头偕老,杯弓蛇影,B,释义：才贤才，人才。爱慕贤才，急欲求得，就象口渴急于喝水一样。。原始资料成语：爱才如渴。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-026
本帅______，何必过谦？★《说岳全传》第三一回,安心乐意,白雪阳春,爱才如命,杯盘狼藉,C,释义：才贤才，人才。爱慕贤才，急欲求得，就象生命一样重要。。原始资料成语：爱才如命。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-027
他们发现了佳人并非因为‘______’而做婊子的，佳人只为的是钱。★鲁迅《上海文艺之一瞥》,安营下寨,白衣苍狗,杯盘狼籍,爱才若渴,D,释义：才贤才，人才。爱慕贤才，急欲求得，就象口渴急于喝水一样。。原始资料成语：爱才若渴。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-028
那个人极端自私，______。,爱财如命,安营扎寨,白衣卿相,杯水车薪,A,释义：把钱财看得跟生命一样重要。形容极端吝啬。。原始资料成语：爱财如命。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-029
方信道贫居闹市无人问，富在深山有远亲。如今人______。★明·无名氏《贫富兴衰》第二折,安枕而卧,爱富嫌贫,白云苍狗,杯中蛇影,B,释义：嫌弃贫穷，喜爱富有。指对人的好恶以其贫富为准。。原始资料成语：爱富嫌贫。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-030
本朝监学之法，虽参以天下之士，而于国子加厚矣。盖______，以有待也。★宋·陈亮《国子》,安之若素,百般折磨,爱礼存羊,悲不自胜,C,释义：由于爱惜古礼，不忍使它废弛，因而保留古礼所需要的祭羊。比喻为维护根本而保留有关仪节。。原始资料成语：爱礼存羊。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-031
一路地方官员馈送礼物，岳爷始终不受……只是吩咐他们学好做官，须要爱民如子，无负朝廷。★清·钱彩《说岳全传》第四八回，最恰当的成语是______。,鞍马劳顿,百弊丛生,悲欢离合,爱民如子,D,释义：旧时称赞某些统治者爱护百姓，就象爱护自己的子女一样。。原始资料成语：爱民如子。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-032
收到各处的回信，只是写些______”之类的抱歉话。★叶圣陶《得失》,爱莫能助,鞍马之劳,百不失一,悲天悯人,A,释义：爱爱惜；莫不。虽然心中关切同情，却没有力量帮助。。原始资料成语：爱莫能助。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-033
晚虽家事不如初，而亲戚故旧之急难，族人子弟之美事，______，每致其倦倦之意，而人人常信之。★宋·陈亮《喻夏卿墓志铭》,按兵不动,爱莫之助,百步穿杨,北门锁钥,B,释义：爱爱惜；莫不。虽然心中关切同情，却没有力量帮助。。原始资料成语：爱莫之助。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-034
1942年我在成都重见她的时候，她已经成了一个______的可笑的胖女人。★巴金《谈》,按步就班,百尺竿头,爱钱如命,北辕适楚,C,释义：某些人贪爱钱财就像吝啬生命一样。形容十分贪婪、刻薄。。原始资料成语：爱钱如命。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-035
轼闻琦语，曰公可谓______矣。”★《宋史·苏轼传》,按部就班,百川赴海,北辙南辕,爱人以德,D,释义：爱人爱护别人；德德行。按照道德标准去爱护人。泛指对人不偏私偏爱，不姑息迁就。。原始资料成语：爱人以德。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-036
子存宠上了小老婆，未免______”，把他也看得同上客一般。★清·吴趼人《二十年目睹之怪现状》第十四回,爱屋及乌,按图索骥,百读不厌,背碑覆局,A,释义：因为爱一个人而连带爱他屋上的乌鸦。比喻爱一个人而连带地关心到与他有关的人或物。。原始资料成语：爱屋及乌。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-037
灰鹤与他都是高傲的，______的，而他与它们的高傲只是一种姿态而已，没有用，没有任何的用。★老舍《四世同堂》五十,按图索骏,爱惜羽毛,百发百中,背城借一,B,释义：羽毛比喻人的声望。比喻为珍惜自己的名声，行事十分谨慎。。原始资料成语：爱惜羽毛。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-038
武汉国民政府和当权军人对于这叛变采取了______的态度，办求化大事为小事”。★陶菊隐《北洋军阀统治时期史话》,案无留牍,百废具举,暧昧不明,背城一战,C,释义：暧昧含糊，不清楚。指不清不楚，不明不白。形容态度不明朗，关系不鲜明。。原始资料成语：暧昧不明。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-039
而孤男寡女并外一室，不无______。★清·明教中人《好逑传》第十五回,暗度陈仓,百废俱举,背道而驰,暧昧之情,D,释义：行为不光明，内有不可告人的隐情。也指男女互相爱悦可能的私事。。原始资料成语：暧昧之情。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-040
何小姐是从苦境里过来的，如今得地身安，安不忘危，立志要成全起这份人家，立番事业。★清·文康《儿女英雄传》第三十回，最恰当的成语是______。,安不忘危,暗度金针,百废俱兴,背井离乡,A,释义：在安全的时候不忘记危难。意思是时刻谨慎小心，提高警惕。。原始资料成语：安不忘危。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-041
每日到局只要把照例的公事办完，立刻回公馆吃饭，一到下午，便一个人______，出门逍遥自在去了。★清·李宝嘉《中国现在记》第七回,暗渡陈仓,安步当车,百感交集,背水一战,B,释义：安安详，不慌忙；安步缓缓步行。以从容的步行代替乘车。。原始资料成语：安步当车。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-042
______，以为社会一健全分子，以徐徐发达，人尽能之，岂待我辈。★清·梁启超《中国前途之希望与国民责任》,暗箭伤人,百花齐放,安常处顺,背信弃义,C,释义：安习惯于；处居住，居于；顺适合，如意。习惯于平稳的日子，处于顺利的境遇中。。原始资料成语：安常处顺。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-043
他长期以来______，缺乏锻炼，因而经不起挫折。,暗室不欺,百喙莫辩,倍道兼行,安常守故,D,释义：习惯于日常的平稳生活，保守旧的一套。指守旧不知变革。。原始资料成语：安常守故。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-044
彼______之流。★清·魏源《治篇七》,安常习故,暗室欺心,百喙难辞,悖入悖出,A,释义：习习惯；故旧例。安于常规，习惯旧例。形容按照常规和老套办事，守旧而不思变革。。原始资料成语：安常习故。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-045
申公待聘，______。★明·张岱《寿周霞城八十》,暗送秋波,安车蒲轮,百家争鸣,被发文身,B,释义：让被征请者坐在安车上，并用蒲叶包着车轮，以便行驶时车身更为安稳。表示皇帝对贤能者的优待。。原始资料成语：安车蒲轮。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-046
当涂、徽州、得以______，皆先生一谑之力也。★清·张岱《王谑庵先生传》,暗无天日,百孔千疮,安堵如故,被发缨冠,C,释义：堵墙壁，居所。故原来的。像原来一样相安无事。。原始资料成语：安堵如故。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-047
从此养好了，可要安分守己，再别胡行乱闹了。★清·曹雪芹《红楼梦》第七十二回，最恰当的成语是______。,暗香疏影,百口莫辩,被发左衽,安分守己,D,释义：分本分。规矩老实，守本分，不做违法的事。。原始资料成语：安分守己。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-048
各国都应采取一些______的措施，以保障社会的安定。,安富恤贫,暗中摸索,百了千当,被褐怀玉,A,释义：恤救济。使富有的人安定，贫穷的人得到救济。。原始资料成语：安富恤贫。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-049
损不失富，优可赈穷，此乃古者______之善经，不可舍也。★唐·陆贽《均节赋税恤百姓六条》六,黯淡无光,安富恤穷,百里挑一,被褐怀珠,B,释义：安定富有者，振济贫苦者。指统治者治国安民之道。。原始资料成语：安富恤穷。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-050
主仆上下都是______，运筹谋画的竟无一个。★清·曹雪芹《红楼梦》第二回,黯然失色,百炼成刚,安富尊荣,被坚执锐,C,释义：安安逸；富富有；尊尊贵；荣荣耀。安定富足，尊贵荣华。也指安于富裕安乐的生活。。原始资料成语：安富尊荣。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-051
一家正______，不想安禄山兵乱，潼关失守，天子西幸。★明·冯梦龙《醒世恒言》卷六,黯然销魂,百年大计,奔轶绝尘,安居乐业,D,释义：安安定；乐喜爱，愉快；业职业。指安定愉快地生活和劳动。。原始资料成语：安居乐业。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-052
