ID,成语,拼音,释义,例句,出处,来源说明,许可证,自动审核结果,人工审核状态
source-011,哀哀欲绝,āi āi yù jué,哀哀极度悲哀；绝断气，死。形容极其悲痛。,那安太太进门，一眼便看见姑娘，～的跪在那里……便一直的奔了姑娘去。★清·文康《儿女英雄传》第二十回,清·曹雪芹《红楼梦》第十三回那宝珠按未嫁女之礼在灵前哀哀欲绝。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-012,哀兵必胜,āi bīng bì shèng,原意是力量相当的两军对阵，悲愤的一方获得胜利◇指因受欺侮而奋起抵抗的军队，必定能取胜。,不，～！不要乐，要哀，何小姐能弹《易水吟》的谱子吗？★张恨水《啼笑因缘续集》第十回,《老子》第六十九章祸莫大于轻敌，轻敌几丧吾宝，故抗兵相加，哀者胜矣。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-013,哀而不伤,āi ér bù shāng,哀悲哀；伤伤害。忧愁而不悲伤，形容感情有节制；另形容诗歌、音乐优美雅致，感情适度。比喻做事没有过头也无不及。,她喜欢打扮，愿意有朋友，可是这都不过是一些小小的、～的、青春的游戏。★老舍《四世同堂》四十三,《论语·八佾》子曰‘《关雎》乐而不淫，哀而不伤。’”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-014,哀感顽艳,āi gǎn wán yàn,顽愚顽。原意是指内容凄切，文辞华丽，使愚笨和聪慧的人同样受感动◇多用来指艳情的小说、戏曲、电影中的感人情节。,这封信却是骈四骈六的，足有三千多字，写得异常的～。★清·吴趼人《二十年目睹之怪现状》第七十一回,三国·魏·繁钦《与魏文帝笺》咏北狄之遐征，奏胡马之长嘶，凄入肝脾，哀感顽艳。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-015,哀鸿遍地,āi hóng biàn dì,哀鸿哀鸣的鸿雁。比喻啼饥号寒的灾民。比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民。,天涯吟望，～，都成愁侣。★黄侃《水龙吟·秋花》词,《诗经·小雅·鸿雁》鸿雁于飞，哀鸣嗷嗷。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-016,哀鸿遍野,āi hóng biàn yě,哀鸿哀鸣的鸿雁。比喻啼饥号寒的灾民。比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民。,我记得历史上的罗马何等殷阗繁盛，怎么今日却是～，春燕无归，满眼凄惶。★清·梁启超《新罗马》,《诗经·小雅·鸿雁》鸿雁于飞，哀鸣嗷嗷。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-017,哀毁骨立,āi huǐ gǔ lì,哀悲哀；毁损坏身体；骨立形容极瘦，只剩下骨架。旧时形容在父母丧中因过度悲伤而瘦得只剩一把骨头。,众亲戚已到，商量在本族亲房立了一个儿子过来，然后大殓治丧。蘧公子～，极倦子之谊。★清·吴敬梓《儒林外史》第十二回,《后汉书·韦彪传》孝行纯至，父母卒，哀毁三年，不出庐寝。服竟，羸瘠骨立异形，医疗数年乃起。”南朝宋·刘义庆《世说新语·德行》王戎虽不备礼，而哀毁骨立。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-018,哀丝豪竹,āi sī háo zhú,丝指弦乐器；竹指管乐器；豪竹粗大的竹管制成的乐器。形容管弦乐声的悲壮动人。,～颂英烈，此是北昆跃进花。★茅盾《观北昆剧院初演〈红霞〉》,唐·杜甫《醉为马坠诸公携酒相看》诗酒肉如山又一时，初筵哀丝动豪竹。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-019,挨肩搭背,āi jiān dā bèi,挨肩肩和肩相靠。搭背手搭在别人背上。形容极其亲昵的样子。,看她俩挨肩搭背的样子，就知道是一对好朋友。,《官场维新记》第九回小玉凤见是警察局的大人到了，连忙抛了各客，溜进房间里来，与袁伯珍挨肩搭背的坐在一块儿。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-020,挨门挨户,āi mén āi hù,挨按照顺序。按照住户的顺序一家也不漏。同挨门逐户”。,她［一丈青大娘］又跑遍沿河几个村落，～乞讨零碎布头儿，给何满子缝了一件五光十色的百家衣。★刘绍棠《蒲柳人家》一,李英儒《野火春风斗古城》第六章二她心生一计，挨门挨户问人家要不要水。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-021,矮人观场,ǎi rén guān cháng,比喻只知道附和别人，自己没有主见。也比喻见识不广。,最有识见之客，亦作～。★清·李渔《闲情偶寄·演习·选剧》,清·王士秅《香祖笔记》卷十予观宋景文近体，无一字无来历，而对仗精确，非读万卷者不能，迥非南渡以后所及。今人耳食，誉者毁者，皆矮人观场，未之或知也。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-022,矮人看场,ǎi rén kàn chǎng,比喻只知道附和别人，自己没有主见。也比喻见识不广。,是真是假，要弄个明白，不能～，人云亦云。,《朱子语类》卷二十七正如矮人看戏一般，见前面人笑，他也笑，他虽眼不曾见，想必是好笑，便随他笑。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-023,矮子看戏,ǎi zǐ kàn xì,比喻只知道附和别人，自己没有主见。也比喻见识不广。,～何曾见，都是随人说短长。★清·赵翼《诗论》诗,《朱子语类》卷二十七正如矮人看戏一般，见前面人笑，他也笑，他虽眼不曾见，想必是好笑，便随他笑。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-024,蔼然可亲,ǎi rán kě qīn,蔼然对人和善的样子。形容态度和气，使人愿意接近。,早有那般世谊同年，见他翩翩风度，～，都愿和他亲近进来了。★清·文康《儿女英雄传》第三十八回,明·李开先《贺邑令贺洪滨奖异序》迄今才八阅月，绝从生之文法，除苛细之科条，虽若凛不可犯，而实蔼然可亲。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-025,爱不忍释,ài bù rěn shì,释放下。对所喜欢的物品，爱得拿在手里久久不肯放下。,得见钱唐陈小云司马《香畹楼忆语》钞本一种，～，亟问假归，手录展玩。★清·王维鋆《香畹楼忆语序一》,南朝·梁·萧统《陶渊明集序》余爱嗜其文，不能释手。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-026,爱才如渴,ài cái rú kě,才贤才，人才。爱慕贤才，急欲求得，就象口渴急于喝水一样。,宫保～，兄弟实在钦佩的。★清·刘鹗《老残游记》六回,清·叶燮《原诗·外篇上》嫉恶甚严，爱才若渴，此韩愈之面目也。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-027,爱才如命,ài cái rú mìng,才贤才，人才。爱慕贤才，急欲求得，就象生命一样重要。,本帅～，何必过谦？★《说岳全传》第三一回,语出清·叶燮《原诗·外篇上》嫉恶甚严，爱才若渴，此韩愈之面目也。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-028,爱才若渴,ài cái ruò kě,才贤才，人才。爱慕贤才，急欲求得，就象口渴急于喝水一样。,他们发现了佳人并非因为‘～’而做婊子的，佳人只为的是钱。★鲁迅《上海文艺之一瞥》,清·叶燮《原诗·外篇上》嫉恶甚严，爱才若渴，此韩愈之面目也。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-029,爱财如命,ài cái rú mìng,把钱财看得跟生命一样重要。形容极端吝啬。,那个人极端自私，～。,清·岭南羽衣女士《东欧女豪杰》第四回我想近来世界，不管什么英雄，什么豪杰，都是爱财如命，何况吃官司的，少不免要和那些狼官鼠吏交手，这更没钱不行了。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-030,爱富嫌贫,ài fù xián pín,嫌弃贫穷，喜爱富有。指对人的好恶以其贫富为准。,方信道贫居闹市无人问，富在深山有远亲。如今人～。★明·无名氏《贫富兴衰》第二折,元·关汉卿《裴度还带》第二折有那等嫌贫爱富的儿曹辈，将俺这贫傲慢、把他那富追陪，那个肯恤孤念寡存仁义。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-031,爱礼存羊,ài lǐ cún yáng,由于爱惜古礼，不忍使它废弛，因而保留古礼所需要的祭羊。比喻为维护根本而保留有关仪节。,本朝监学之法，虽参以天下之士，而于国子加厚矣。盖～，以有待也。★宋·陈亮《国子》,《论语·八佾》子贡欲去告朔之饩羊，子曰‘赐也，尔爱其羊，我爱其礼。’”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-032,爱民如子,ài mín rú zǐ,旧时称赞某些统治者爱护百姓，就象爱护自己的子女一样。,一路地方官员馈送礼物，岳爷始终不受……只是吩咐他们学好做官，须要爱民如子，无负朝廷。★清·钱彩《说岳全传》第四八回,《礼记·中庸》子，庶民也。”汉·刘向《新序·杂事一》良君将赏善而除民患，爱民如子，盖之如天，容之若地。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-033,爱莫能助,ài mò néng zhù,爱爱惜；莫不。虽然心中关切同情，却没有力量帮助。,收到各处的回信，只是写些～”之类的抱歉话。★叶圣陶《得失》,《诗经·大雅·焌民》维仲山甫举之，爱莫助之。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-034,爱莫之助,ài mò zhī zhù,爱爱惜；莫不。虽然心中关切同情，却没有力量帮助。,晚虽家事不如初，而亲戚故旧之急难，族人子弟之美事，～，每致其倦倦之意，而人人常信之。★宋·陈亮《喻夏卿墓志铭》,《诗经·大雅·焌民》维仲山甫举之，爱莫助之。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-035,爱钱如命,ài qián rú mìng,某些人贪爱钱财就像吝啬生命一样。形容十分贪婪、刻薄。,1942年我在成都重见她的时候，她已经成了一个～的可笑的胖女人。★巴金《谈》,明·谢谠《四喜记·大宋毕姻》既称月老，又号冰人，爱钱如命，说谎能神，自家高媒婆是也。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-036,爱人以德,ài rén yǐ dé,爱人爱护别人；德德行。按照道德标准去爱护人。泛指对人不偏私偏爱，不姑息迁就。,轼闻琦语，曰公可谓～矣。”★《宋史·苏轼传》,《礼记·檀弓上》君子之爱人也以德，细人之爱人也以姑息。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-037,爱屋及乌,ài wū jí wū,因为爱一个人而连带爱他屋上的乌鸦。比喻爱一个人而连带地关心到与他有关的人或物。,子存宠上了小老婆，未免～”，把他也看得同上客一般。★清·吴趼人《二十年目睹之怪现状》第十四回,《尚书大传·大战》爱人者，兼其屋上之乌。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-038,爱惜羽毛,ài xī yǔ máo,羽毛比喻人的声望。比喻为珍惜自己的名声，行事十分谨慎。,灰鹤与他都是高傲的，～的，而他与它们的高傲只是一种姿态而已，没有用，没有任何的用。★老舍《四世同堂》五十,汉·刘向《说苑·杂言》夫君子爱口，孔雀爱羽，虎豹爱爪，此皆所以治身法也。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-039,暧昧不明,ài mèi bù míng,暧昧含糊，不清楚。指不清不楚，不明不白。形容态度不明朗，关系不鲜明。,武汉国民政府和当权军人对于这叛变采取了～的态度，办求化大事为小事”。★陶菊隐《北洋军阀统治时期史话》,清·文康《儿女英雄传》第八回又把你姑娘一片侠肠，埋没得暧昧不明，我安龙媒真真的愧悔无地！”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-040,暧昧之情,ài mèi zhī qíng,行为不光明，内有不可告人的隐情。也指男女互相爱悦可能的私事。,而孤男寡女并外一室，不无～。★清·明教中人《好逑传》第十五回,明·冯梦龙《警世通言·三现身包龙图断冤》做知县时，便能剖人间暧昧之情，断天下狐疑之狱。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-041,安不忘危,ān bù wàng wēi,在安全的时候不忘记危难。意思是时刻谨慎小心，提高警惕。,何小姐是从苦境里过来的，如今得地身安，安不忘危，立志要成全起这份人家，立番事业。★清·文康《儿女英雄传》第三十回,《周易·系辞下》是故君子安而不忘危，存而不忘亡，治而不忘礼，是以身安而国家可保也。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-042,安步当车,ān bù dàng chē,安安详，不慌忙；安步缓缓步行。以从容的步行代替乘车。,每日到局只要把照例的公事办完，立刻回公馆吃饭，一到下午，便一个人～，出门逍遥自在去了。★清·李宝嘉《中国现在记》第七回,《战国策·齐策四》晚食以当肉，安步以当车，无罪以当贵，清静贞正以自虞。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-043,安常处顺,ān cháng chǔ shùn,安习惯于；处居住，居于；顺适合，如意。习惯于平稳的日子，处于顺利的境遇中。,～，以为社会一健全分子，以徐徐发达，人尽能之，岂待我辈。★清·梁启超《中国前途之希望与国民责任》,《庄子·养生主》安时而处顺，哀乐不能入也。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-044,安常守故,ān cháng shǒu gù,习惯于日常的平稳生活，保守旧的一套。指守旧不知变革。,他长期以来～，缺乏锻炼，因而经不起挫折。,明·海瑞《申军门吴尧便宜五事文》本院非安常守故人也。至任以来，千万人以鼓舞作兴，翻然改革望之矣。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-045,安常习故,ān cháng xí gù,习习惯；故旧例。安于常规，习惯旧例。形容按照常规和老套办事，守旧而不思变革。,彼～之流。★清·魏源《治篇七》,宋·刘挈《论人才》有安常习故乐于无事之论，有变古更法喜于敢为之论。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-046,安车蒲轮,ān chē pú lún,让被征请者坐在安车上，并用蒲叶包着车轮，以便行驶时车身更为安稳。表示皇帝对贤能者的优待。,申公待聘，～。★明·张岱《寿周霞城八十》,《汉书·武帝纪》遣使者安车蒲轮，束帛加壁，征鲁申公。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-047,安堵如故,ān dǔ rú gù,堵墙壁，居所。故原来的。像原来一样相安无事。,当涂、徽州、得以～，皆先生一谑之力也。★清·张岱《王谑庵先生传》,《史记·高祖本纪》诸吏人皆案堵如故。”汉·荀悦《汉纪·高祖纪》吏人皆安堵如故，民争献牛洒。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
